channel_id	contact_id	sampling_frequency	units	channel_name	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nsx	hi_pass_freq	lo_pass_freq	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_ids	coordinates_x	coordinates_y	channel_type
72	72.0	30000	uV	chan72	../../../sourcedata/l101210-001.ns5	3	8	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	52.0	0.4	2.0	extracellular neuronal recordings
73	73.0	30000	uV	chan73	../../../sourcedata/l101210-001.ns5	3	9	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	41.0	0.0	1.6	extracellular neuronal recordings
74	74.0	30000	uV	chan74	../../../sourcedata/l101210-001.ns5	3	10	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	42.0	0.4	1.6	extracellular neuronal recordings
75	75.0	30000	uV	chan75	../../../sourcedata/l101210-001.ns5	3	11	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	31.0	0.0	1.2	extracellular neuronal recordings
76	76.0	30000	uV	chan76	../../../sourcedata/l101210-001.ns5	3	12	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	32.0	0.4	1.2	extracellular neuronal recordings
77	77.0	30000	uV	chan77	../../../sourcedata/l101210-001.ns5	3	13	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	21.0	0.0	0.8	extracellular neuronal recordings
78	78.0	30000	uV	chan78	../../../sourcedata/l101210-001.ns5	3	14	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	22.0	0.4	0.8	extracellular neuronal recordings
79	79.0	30000	uV	chan79	../../../sourcedata/l101210-001.ns5	3	15	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	11.0	0.0	0.4	extracellular neuronal recordings
80	80.0	30000	uV	chan80	../../../sourcedata/l101210-001.ns5	3	16	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	12.0	0.4	0.4	extracellular neuronal recordings
81	81.0	30000	uV	chan81	../../../sourcedata/l101210-001.ns5	3	17	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	2.0	0.4	0.0	extracellular neuronal recordings
82	82.0	30000	uV	chan82	../../../sourcedata/l101210-001.ns5	3	18	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	23.0	0.8	0.8	extracellular neuronal recordings
83	83.0	30000	uV	chan83	../../../sourcedata/l101210-001.ns5	3	19	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	3.0	0.8	0.0	extracellular neuronal recordings
84	84.0	30000	uV	chan84	../../../sourcedata/l101210-001.ns5	3	20	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	13.0	0.8	0.4	extracellular neuronal recordings
85	85.0	30000	uV	chan85	../../../sourcedata/l101210-001.ns5	3	21	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	4.0	1.2	0.0	extracellular neuronal recordings
86	86.0	30000	uV	chan86	../../../sourcedata/l101210-001.ns5	3	22	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	14.0	1.2	0.4	extracellular neuronal recordings
