channel_id	contact_id	stream_id	sampling_frequency	units	channel_name	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nev_hi_freq_order	nev_hi_freq_type	nev_lo_freq_order	nev_lo_freq_type	nsx_hi_freq_order	nsx_lo_freq_order	nsx_hi_freq_type	nsx_lo_freq_type	nsx	hi_pass_freq	lo_pass_freq	hi_pass_order	lo_pass_order	filter_type	electrode_reject_LFC	electrode_reject_IFC	Unnamed: 27	connector_aligned_id	coordinates_x	coordinates_y	channel_type
60	61.0	1	1000	uV	chan61	../../../sourcedata/i140703-001.ns2	2	29	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	29.0	3.2	0.8	extracellular neuronal recordings
61	62.0	1	1000	uV	chan62	../../../sourcedata/i140703-001.ns2	2	30	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	48.0	2.8	1.6	extracellular neuronal recordings
62	63.0	1	1000	uV	chan63	../../../sourcedata/i140703-001.ns2	2	31	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	19.0	3.2	0.4	extracellular neuronal recordings
63	64.0	1	1000	uV	chan64	../../../sourcedata/i140703-001.ns2	2	32	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	39.0	3.2	1.2	extracellular neuronal recordings
64	65.0	1	1000	uV	chan65	../../../sourcedata/i140703-001.ns2	3	1	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	81.0	0.0	3.2	extracellular neuronal recordings
65	66.0	1	1000	uV	chan66	../../../sourcedata/i140703-001.ns2	3	2	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	82.0	0.4	3.2	extracellular neuronal recordings
66	67.0	1	1000	uV	chan67	../../../sourcedata/i140703-001.ns2	3	3	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	True	False	71.0	0.0	2.8	extracellular neuronal recordings
67	68.0	1	1000	uV	chan68	../../../sourcedata/i140703-001.ns2	3	4	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	72.0	0.4	2.8	extracellular neuronal recordings
68	69.0	1	1000	uV	chan69	../../../sourcedata/i140703-001.ns2	3	5	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	61.0	0.0	2.4	extracellular neuronal recordings
69	70.0	1	1000	uV	chan70	../../../sourcedata/i140703-001.ns2	3	6	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	62.0	0.4	2.4	extracellular neuronal recordings
